state,year2020,year2022
Amazonas,78.49999753564687,0.0
Anzoátegui,45.78212818424404,24.653207308283616
Apure,76.74477613833876,12.769787193113965
Aragua,31.92961285372913,41.516091674350754
Barinas,31.48584917929089,1.8724168478211574
Bolívar,5.693224517653846,8.933898119700956
Carabobo,18.68014221476986,7.26430498503165
Cojedes,6.533155010542494,5.296776121864243
Delta Amacuro,80.33154632903691,61.00418790968681
Distrito Capital,0.0,99.25008286772973
Falcón,2.1339082047220184,17.616536963595326
Guárico,93.3671523460377,38.0678740443938
Lara,12.204608218234316,13.132811267798337
Miranda,31.996257680767172,48.47966857313232
Monagas,26.338754808526392,22.40794548348852
Mérida,22.02052031983395,12.702757075579536
Nueva Esparta,28.61387747888206,49.83883523396264
Portuguesa,61.528452763359574,12.926938918229169
Sucre,30.858416703700094,0.0
Trujillo,32.14466147828999,33.98314863311543
Táchira,32.525358648205824,15.275608424716392
Vargas,0.0,34.34927794813173
Yaracuy,5.473405986226499,20.165614685274193
Zulia,23.028630290516677,0.0
